,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023,abr./2023,mai./2023,jun./2023,jul./2023,ago./2023,set./2023,out./2023,nov./2023,dez./2023,jan./2024,fev./2024,mar./2024,abr./2024,mai./2024,jun./2024,jul./2024,ago./2024,set./2024,out./2024,nov./2024,dez./2024,jan./2025,fev./2025,mar./2025,abr./2025,mai./2025,jun./2025,jul./2025,ago./2025,set./2025,out./2025,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
Plano de Saúde,R$ 7.200,R$ 7.200,R$ 6.800,R$ 6.800,R$ 7.600,R$ 6.800,R$ 8.000,R$ 8.000,R$ 8.400,R$ 9.200,R$ 9.200,R$ 10.400,R$ 10.800,R$ 10.800,R$ 12.000,R$ 11.600,R$ 11.600,R$ 12.000,R$ 13.600,R$ 14.800,R$ 15.600,R$ 17.200,R$ 17.600,R$ 17.600,R$ 18.000,R$ 21.600,R$ 24.000,R$ 24.000,R$ 24.400,R$ 24.400,R$ 24.400,R$ 24.800,R$ 24.800,R$ 26.000,R$ 26.000,R$ 26.400,R$ 26.400,R$ 29.200,R$ 29.200,R$ 30.400,R$ 30.400,R$ 30.800,R$ 30.800,R$ 31.200,R$ 31.200,R$ 32.400,R$ 32.400,R$ 32.800,R$ 33.200,R$ 36.800,R$ 37.200,R$ 37.600,R$ 38.800,R$ 38.800,R$ 39.200,R$ 39.600,R$ 40.000,R$ 40.400,R$ 41.600,R$ 42.000,R$ 42.400
Gmypass,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 1.294,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 3.750,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000
Saúde Ocupacional,,,,,,,R$ 200,R$ 200,R$ 200,R$ 200,R$ 200,R$ 200,R$ 237,R$ 237,R$ 269,R$ 253,R$ 253,R$ 269,R$ 316,R$ 348,R$ 348,R$ 363,R$ 363,R$ 363,R$ 379,R$ 474,R$ 490,R$ 490,R$ 506,R$ 506,R$ 506,R$ 521,R$ 521,R$ 521,R$ 521,R$ 537,R$ 537,R$ 632,R$ 632,R$ 648,R$ 648,R$ 664,R$ 664,R$ 679,R$ 679,R$ 695,R$ 695,R$ 711,R$ 727,R$ 822,R$ 837,R$ 853,R$ 869,R$ 869,R$ 885,R$ 901,R$ 916,R$ 932,R$ 948,R$ 964,R$ 980
Consultorias externas,R$ 2.900,R$ 6.700,R$ 7.100,R$ 7.100,R$ 7.100,R$ 8.300,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100,R$ 7.100
Aluguel,R$ 4.200,R$ 4.200,R$ 4.200,R$ 4.200,R$ 4.200,R$ 3.528,R$ 3.528,R$ 3.824,R$ 3.824,R$ 998,R$ 998,R$ 998,R$ 998,R$ 998,R$ 998,R$ 998,R$ 998,R$ 998,R$ 13.566,R$ 14.763,R$ 15.561,R$ 17.157,R$ 17.556,R$ 17.556,R$ 17.955,R$ 37.746,R$ 41.940,R$ 41.940,R$ 42.639,R$ 42.639,R$ 42.639,R$ 43.338,R$ 43.338,R$ 45.435,R$ 45.435,R$ 46.134,R$ 46.134,R$ 51.027,R$ 51.027,R$ 53.124,R$ 53.124,R$ 53.823,R$ 53.823,R$ 54.522,R$ 54.522,R$ 56.619,R$ 56.619,R$ 57.318,R$ 58.017,R$ 64.308,R$ 65.007,R$ 65.706,R$ 67.803,R$ 67.803,R$ 68.502,R$ 69.201,R$ 69.900,R$ 70.599,R$ 72.696,R$ 73.395,R$ 74.094
Transporte,R$ 1.800,R$ 1.800,R$ 1.700,R$ 1.700,R$ 1.900,R$ 1.700,R$ 2.000,R$ 2.000,R$ 2.100,R$ 2.300,R$ 2.300,R$ 2.600,R$ 2.700,R$ 2.700,R$ 3.000,R$ 2.900,R$ 2.900,R$ 3.000,R$ 3.400,R$ 3.700,R$ 3.900,R$ 4.300,R$ 4.400,R$ 4.400,R$ 4.500,R$ 5.400,R$ 6.000,R$ 6.000,R$ 6.100,R$ 6.100,R$ 6.100,R$ 6.200,R$ 6.200,R$ 6.500,R$ 6.500,R$ 6.600,R$ 6.600,R$ 7.300,R$ 7.300,R$ 7.600,R$ 7.600,R$ 7.700,R$ 7.700,R$ 7.800,R$ 7.800,R$ 8.100,R$ 8.100,R$ 8.200,R$ 8.300,R$ 9.200,R$ 9.300,R$ 9.400,R$ 9.700,R$ 9.700,R$ 9.800,R$ 9.900,R$ 10.000,R$ 10.100,R$ 10.400,R$ 10.500,R$ 10.600
Gsuite,R$ 486,R$ 486,R$ 459,R$ 459,R$ 513,R$ 540,R$ 621,R$ 621,R$ 648,R$ 702,R$ 702,R$ 783,R$ 810,R$ 810,R$ 891,R$ 864,R$ 864,R$ 891,R$ 999,R$ 1.080,R$ 1.134,R$ 1.242,R$ 1.269,R$ 1.269,R$ 1.296,R$ 1.539,R$ 1.701,R$ 1.701,R$ 1.728,R$ 1.728,R$ 1.728,R$ 1.755,R$ 1.755,R$ 1.836,R$ 1.836,R$ 1.863,R$ 1.863,R$ 2.052,R$ 2.052,R$ 2.133,R$ 2.133,R$ 2.160,R$ 2.160,R$ 2.187,R$ 2.187,R$ 2.268,R$ 2.268,R$ 2.295,R$ 2.322,R$ 2.565,R$ 2.592,R$ 2.619,R$ 2.700,R$ 2.700,R$ 2.727,R$ 2.754,R$ 2.781,R$ 2.808,R$ 2.889,R$ 2.916,R$ 2.943
Notebook,R$ 0,-R$ 3.000,R$ 0,R$ 6.000,-R$ 6.000,R$ 9.000,R$ 0,R$ 3.000,R$ 6.000,R$ 0,R$ 9.000,R$ 3.000,R$ 0,R$ 9.000,-R$ 3.000,R$ 0,R$ 3.000,R$ 12.000,R$ 9.000,R$ 6.000,R$ 12.000,R$ 3.000,R$ 0,R$ 3.000,R$ 27.000,R$ 18.000,R$ 0,R$ 3.000,R$ 0,R$ 0,R$ 3.000,R$ 0,R$ 9.000,R$ 0,R$ 3.000,R$ 0,R$ 21.000,R$ 0,R$ 9.000,R$ 0,R$ 3.000,R$ 0,R$ 3.000,R$ 0,R$ 9.000,R$ 0,R$ 3.000,R$ 3.000,R$ 27.000,R$ 3.000,R$ 3.000,R$ 9.000,R$ 0,R$ 3.000,R$ 3.000,R$ 3.000,R$ 3.000,R$ 9.000,R$ 3.000,R$ 3.000,R$ 3.000
ERP,R$ 607,R$ 607,R$ 607,R$ 607,R$ 607,R$ 607,R$ 612,R$ 612,R$ 612,R$ 612,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 612,R$ 612,R$ 612,R$ 612,R$ 612,R$ 612,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400,R$ 2.400
Feedz,,,,,,,R$ 553,R$ 553,R$ 553,R$ 553,R$ 553,R$ 553,R$ 553,R$ 553,R$ 810,R$ 783,R$ 783,R$ 810,R$ 918,R$ 999,R$ 1.053,R$ 1.161,R$ 1.188,R$ 1.188,R$ 1.215,R$ 1.458,R$ 1.620,R$ 1.620,R$ 1.647,R$ 1.647,R$ 1.647,R$ 1.674,R$ 1.674,R$ 1.755,R$ 1.755,R$ 1.782,R$ 1.782,R$ 1.971,R$ 1.971,R$ 2.052,R$ 2.052,R$ 2.079,R$ 2.079,R$ 2.106,R$ 2.106,R$ 2.187,R$ 2.187,R$ 2.214,R$ 2.241,R$ 2.484,R$ 2.511,R$ 2.538,R$ 2.619,R$ 2.619,R$ 2.646,R$ 2.673,R$ 2.700,R$ 2.727,R$ 2.808,R$ 2.835,R$ 2.862
Endomarketing,R$ 900,R$ 900,R$ 850,R$ 850,R$ 950,R$ 850,R$ 1.000,R$ 1.200,R$ 1.260,R$ 1.380,R$ 1.380,R$ 1.560,R$ 1.620,R$ 1.620,R$ 1.800,R$ 1.740,R$ 1.740,R$ 1.800,R$ 2.040,R$ 2.220,R$ 2.340,R$ 2.580,R$ 2.640,R$ 2.640,R$ 2.700,R$ 3.240,R$ 3.600,R$ 3.600,R$ 3.660,R$ 3.660,R$ 3.660,R$ 3.720,R$ 3.720,R$ 3.900,R$ 3.900,R$ 3.960,R$ 3.960,R$ 4.380,R$ 4.380,R$ 4.560,R$ 4.560,R$ 4.620,R$ 4.620,R$ 4.680,R$ 4.680,R$ 4.860,R$ 4.860,R$ 4.920,R$ 4.980,R$ 5.520,R$ 5.580,R$ 5.640,R$ 5.820,R$ 5.820,R$ 5.880,R$ 5.940,R$ 6.000,R$ 6.060,R$ 6.240,R$ 6.300,R$ 6.360
Educação,R$ 1.800,R$ 1.800,R$ 1.700,R$ 1.700,R$ 1.900,R$ 1.700,R$ 2.000,R$ 2.000,R$ 2.100,R$ 2.300,R$ 2.300,R$ 2.600,R$ 2.700,R$ 3.240,R$ 3.600,R$ 3.480,R$ 3.480,R$ 3.600,R$ 4.080,R$ 4.440,R$ 4.680,R$ 5.160,R$ 5.280,R$ 5.280,R$ 5.400,R$ 7.560,R$ 8.400,R$ 8.400,R$ 8.540,R$ 8.540,R$ 8.540,R$ 8.680,R$ 8.680,R$ 9.100,R$ 9.100,R$ 9.240,R$ 9.240,R$ 11.680,R$ 11.680,R$ 12.160,R$ 12.160,R$ 12.320,R$ 12.320,R$ 12.480,R$ 12.480,R$ 12.960,R$ 12.960,R$ 13.120,R$ 13.280,R$ 16.560,R$ 16.740,R$ 16.920,R$ 17.460,R$ 17.460,R$ 17.640,R$ 17.820,R$ 18.000,R$ 18.180,R$ 18.720,R$ 18.900,R$ 19.080
CRM/Sales,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167,R$ 2.167
RD Station,,,,,,,,,,R$ 3.737,R$ 3.737,R$ 3.737,,,,,,,,,,R$ 3.737,R$ 3.737,R$ 3.737,,,,,,,,,,R$ 3.737,R$ 3.737,R$ 3.737,,,,,,,,,,R$ 3.737,R$ 3.737,R$ 3.737,,,,,,,,,,R$ 3.737,R$ 3.737,R$ 3.737,
Makerketing Apps,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 238,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366,R$ 366
Designer,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0
Gestor de Tráfego,R$ 1.500,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.000,R$ 5.131,R$ 5.388,R$ 5.657,R$ 5.940,R$ 6.237,R$ 6.549,R$ 6.876,R$ 7.220,R$ 7.581,R$ 7.960,R$ 8.358,R$ 8.776,R$ 9.215,R$ 9.675,R$ 10.159,R$ 10.667,R$ 11.200,R$ 11.760,R$ 12.348,R$ 12.966,R$ 13.614,R$ 14.295,R$ 15.010,R$ 15.760,R$ 16.548,R$ 17.375,R$ 18.244,R$ 19.156,R$ 20.114
Ads,R$ 6.000,R$ 6.600,R$ 7.260,R$ 7.986,R$ 8.785,R$ 9.663,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 10.000,R$ 15.000,R$ 15.750,R$ 16.538,R$ 17.364,R$ 18.233,R$ 19.144,R$ 20.101,R$ 21.107,R$ 22.162,R$ 23.270,R$ 24.433,R$ 25.655,R$ 26.938,R$ 28.285,R$ 29.699,R$ 31.184,R$ 32.743,R$ 34.380,R$ 36.099,R$ 37.904,R$ 39.799,R$ 41.789,R$ 43.879,R$ 46.073,R$ 48.376,R$ 50.795,R$ 53.335,R$ 56.002,R$ 58.802,R$ 61.742,R$ 64.829,R$ 68.071,R$ 71.474,R$ 75.048,R$ 78.800,R$ 82.740,R$ 86.877,R$ 91.221,R$ 95.782,R$ 100.571
VideoMaker,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0
Advogado,R$ 500,R$ 500,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 700,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.500,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.000,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500,R$ 2.500
DPO as Servive,,,,,,,,,,,,,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750,R$ 1.750
D4sign,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140,R$ 140
Contador,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 1.212,R$ 1.212,R$ 1.212,R$ 1.212,R$ 1.350,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050,R$ 3.050
Telefone/Voip,R$ 400,R$ 400,R$ 400,R$ 400,R$ 480,R$ 480,R$ 480,R$ 480,R$ 480,R$ 480,R$ 480,R$ 480,R$ 560,R$ 560,R$ 560,R$ 560,R$ 560,R$ 560,R$ 560,R$ 640,R$ 640,R$ 640,R$ 720,R$ 720,R$ 720,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120,R$ 1.120
"Associação (ACATE,ISB,Cubo)",R$ 462,R$ 462,R$ 462,R$ 462,R$ 462,R$ 462,R$ 462,R$ 486,R$ 486,R$ 486,R$ 486,R$ 486,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236,R$ 1.236
Enfermeira,,,,,,,,,R$ 3.500,R$ 3.500,R$ 3.500,R$ 3.500,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0
Evento,,,,,,,,R$ 8.333,R$ 8.333,R$ 8.333,,,,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 20.000,,,,R$ 10.000,,R$ 67.500,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 20.000,,,,R$ 10.000,,R$ 99.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 20.000,,,,R$ 10.000,,R$ 124.500,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 9.000,R$ 20.000,,,,R$ 10.000,,R$ 159.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,R$ 16.298,R$ 24.600,,,,,,,,,,,R$ 40.750,R$ 42.250,,,,,,,,,,,R$ 60.700,R$ 60.700,,,,,,,,,,,R$ 80.050,R$ 81.050,,,,,,,,,,,R$ 105.900,R$ 107.400
Viagens,R$ 0,R$ 0,R$ 0,R$ 1.000,R$ 1.050,R$ 1.103,R$ 1.158,R$ 1.216,R$ 1.276,R$ 1.340,R$ 1.407,R$ 1.477,R$ 1.551,R$ 1.629,R$ 1.710,R$ 1.796,R$ 1.886,R$ 1.980,R$ 2.079,R$ 2.183,R$ 2.292,R$ 2.407,R$ 2.527,R$ 2.653,R$ 2.786,R$ 2.925,R$ 3.072,R$ 3.225,R$ 3.386,R$ 3.556,R$ 3.733,R$ 3.920,R$ 4.116,R$ 4.322,R$ 4.538,R$ 4.765,R$ 5.003,R$ 5.253,R$ 5.516,R$ 5.792,R$ 6.081,R$ 6.385,R$ 6.705,R$ 7.040,R$ 7.392,R$ 7.762,R$ 8.150,R$ 8.557,R$ 8.985,R$ 9.434,R$ 9.906,R$ 10.401,R$ 10.921,R$ 11.467,R$ 12.041,R$ 12.643,R$ 13.275,R$ 13.939,R$ 14.636,R$ 15.367,R$ 16.136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,"-R$ 4.581,81","-R$ 2.649,36","R$ 967,54","-R$ 2.926,84","R$ 5.598,21","R$ 2.012,31","R$ 7.064,58","R$ 2.980,93","R$ 12.276,64","R$ 14.282,01","R$ 15.420,97","R$ 2.532,72","-R$ 29.477,10","-R$ 22.258,59","-R$ 11.902,43","R$ 526,76","R$ 6.565,10","R$ 5.641,85","-R$ 30.638,38","-R$ 21.182,01","-R$ 12.795,65","-R$ 41.037,21","-R$ 70.617,28","-R$ 78.722,76","-R$ 174.484,77","-R$ 119.633,60","-R$ 128.105,34","-R$ 83.715,66","-R$ 88.286,53","-R$ 36.610,82","-R$ 46.473,09","R$ 26.169,77","R$ 21.628,75","R$ 63.209,83","R$ 58.228,68","R$ 65.314,08","-R$ 44.287,19","R$ 126.414,65","R$ 158.803,10","R$ 192.658,17","R$ 231.500,66","R$ 276.735,26","R$ 309.792,85","R$ 376.775,91","R$ 417.513,87","R$ 453.870,47","R$ 492.965,46","R$ 467.976,20","R$ 367.823,41","R$ 575.682,00","R$ 622.251,39","R$ 663.377,11","R$ 704.160,27","R$ 752.214,17","R$ 785.123,51","R$ 853.198,05","R$ 900.483,63","R$ 935.979,30","R$ 968.407,58","R$ 921.148,88","R$ 810.988,42"
Imposto,R$ 15.429,R$ 16.320,R$ 20.520,R$ 21.659,R$ 22.931,R$ 24.342,R$ 25.718,R$ 21.490,R$ 19.983,R$ 30.241,R$ 32.783,R$ 35.568,R$ 25.154,R$ 27.270,R$ 16.546,R$ 18.167,R$ 19.593,R$ 19.369,R$ 21.894,R$ 22.643,R$ 24.001,R$ 25.942,R$ 26.521,R$ 27.819,R$ 33.257,R$ 33.904,R$ 36.706,R$ 37.652,R$ 41.016,R$ 42.301,R$ 47.422,R$ 50.015,R$ 53.623,R$ 55.529,R$ 58.497,R$ 59.633,R$ 63.443,R$ 69.128,R$ 74.267,R$ 76.849,R$ 81.093,R$ 83.951,R$ 86.892,R$ 90.647,R$ 93.705,R$ 96.809,R$ 99.953,R$ 103.638,R$ 106.861,R$ 115.797,R$ 119.097,R$ 122.937,R$ 127.316,R$ 131.238,R$ 134.493,R$ 138.536,R$ 141.867,R$ 145.738,R$ 149.148,R$ 153.350,R$ 157.345
