,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023,abr./2023,mai./2023,jun./2023,jul./2023,ago./2023,set./2023,out./2023,nov./2023,dez./2023,jan./2024,fev./2024,mar./2024,abr./2024,mai./2024,jun./2024,jul./2024,ago./2024,set./2024,out./2024,nov./2024,dez./2024,jan./2025,fev./2025,mar./2025,abr./2025,mai./2025,jun./2025,jul./2025,ago./2025,set./2025,out./2025,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
Stonly,,,,,,,R$ 338,R$ 324,R$ 352,R$ 356,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350,R$ 350
CS,R$ 14.850,R$ 15.300,R$ 15.300,R$ 16.350,R$ 15.900,R$ 14.100,R$ 21.100,R$ 21.100,R$ 21.100,R$ 23.600,R$ 24.600,R$ 21.200,R$ 17.800,R$ 17.800,R$ 21.400,R$ 21.400,R$ 21.400,R$ 23.400,R$ 23.400,R$ 25.800,R$ 25.800,R$ 28.800,R$ 30.800,R$ 30.800,R$ 33.800,R$ 33.800,R$ 33.800,R$ 33.800,R$ 35.800,R$ 35.800,R$ 35.800,R$ 38.800,R$ 38.800,R$ 38.800,R$ 38.800,R$ 40.800,R$ 40.800,R$ 40.800,R$ 40.800,R$ 42.800,R$ 42.800,R$ 44.800,R$ 44.800,R$ 47.800,R$ 47.800,R$ 49.800,R$ 49.800,R$ 52.800,R$ 54.800,R$ 56.800,R$ 59.800,R$ 61.800,R$ 63.800,R$ 63.800,R$ 66.800,R$ 68.800,R$ 70.800,R$ 73.800,R$ 75.800,R$ 77.800,R$ 80.800
INSS,R$ 1.021,R$ 1.079,R$ 1.079,R$ 1.346,R$ 1.287,R$ 1.053,R$ 1.963,R$ 1.963,R$ 1.963,R$ 2.288,R$ 2.288,R$ 1.313,R$ 936,R$ 936,R$ 1.209,R$ 1.209,R$ 1.209,R$ 1.469,R$ 1.469,R$ 1.781,R$ 1.781,R$ 2.171,R$ 2.171,R$ 2.171,R$ 2.561,R$ 2.561,R$ 2.561,R$ 2.561,R$ 2.821,R$ 2.821,R$ 2.821,R$ 3.211,R$ 3.211,R$ 3.211,R$ 3.211,R$ 3.471,R$ 3.471,R$ 3.471,R$ 3.471,R$ 3.731,R$ 3.731,R$ 3.991,R$ 3.991,R$ 4.381,R$ 4.381,R$ 4.641,R$ 4.641,R$ 5.031,R$ 5.291,R$ 5.551,R$ 5.941,R$ 6.201,R$ 6.461,R$ 6.461,R$ 6.851,R$ 7.111,R$ 7.371,R$ 7.761,R$ 8.021,R$ 8.281,R$ 8.671
FGTS,R$ 628,R$ 664,R$ 664,R$ 828,R$ 792,R$ 648,R$ 1.208,R$ 1.208,R$ 1.208,R$ 1.408,R$ 1.408,R$ 808,R$ 576,R$ 576,R$ 744,R$ 744,R$ 744,R$ 904,R$ 904,R$ 1.096,R$ 1.096,R$ 1.336,R$ 1.336,R$ 1.336,R$ 1.576,R$ 1.576,R$ 1.576,R$ 1.576,R$ 1.736,R$ 1.736,R$ 1.736,R$ 1.976,R$ 1.976,R$ 1.976,R$ 1.976,R$ 2.136,R$ 2.136,R$ 2.136,R$ 2.136,R$ 2.296,R$ 2.296,R$ 2.456,R$ 2.456,R$ 2.696,R$ 2.696,R$ 2.856,R$ 2.856,R$ 3.096,R$ 3.256,R$ 3.416,R$ 3.656,R$ 3.816,R$ 3.976,R$ 3.976,R$ 4.216,R$ 4.376,R$ 4.536,R$ 4.776,R$ 4.936,R$ 5.096,R$ 5.336
IRRF,R$ 471,R$ 498,R$ 498,R$ 621,R$ 594,R$ 486,R$ 906,R$ 906,R$ 906,R$ 1.056,R$ 1.056,R$ 606,R$ 432,R$ 432,R$ 558,R$ 558,R$ 558,R$ 678,R$ 678,R$ 822,R$ 822,R$ 1.002,R$ 1.002,R$ 1.002,R$ 1.182,R$ 1.182,R$ 1.182,R$ 1.182,R$ 1.302,R$ 1.302,R$ 1.302,R$ 1.482,R$ 1.482,R$ 1.482,R$ 1.482,R$ 1.602,R$ 1.602,R$ 1.602,R$ 1.602,R$ 1.722,R$ 1.722,R$ 1.842,R$ 1.842,R$ 2.022,R$ 2.022,R$ 2.142,R$ 2.142,R$ 2.322,R$ 2.442,R$ 2.562,R$ 2.742,R$ 2.862,R$ 2.982,R$ 2.982,R$ 3.162,R$ 3.282,R$ 3.402,R$ 3.582,R$ 3.702,R$ 3.822,R$ 4.002
Cloudflare,,,,,,,,,,,,,,,,,,,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000,R$ 1.000
Zendesk,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 500,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230,,,R$ 1.230
ClickUp,R$ 125,R$ 125,R$ 125,R$ 125,R$ 125,R$ 100,R$ 150,R$ 150,R$ 150,R$ 175,R$ 175,R$ 150,R$ 125,R$ 125,R$ 150,R$ 150,R$ 150,R$ 175,R$ 175,R$ 200,R$ 200,R$ 225,R$ 225,R$ 225,R$ 250,R$ 250,R$ 250,R$ 250,R$ 275,R$ 275,R$ 275,R$ 300,R$ 300,R$ 300,R$ 300,R$ 325,R$ 325,R$ 325,R$ 325,R$ 350,R$ 350,R$ 375,R$ 375,R$ 400,R$ 400,R$ 425,R$ 425,R$ 450,R$ 475,R$ 500,R$ 525,R$ 550,R$ 575,R$ 575,R$ 600,R$ 625,R$ 650,R$ 675,R$ 700,R$ 725,R$ 750
Pipedrive,R$ 600,R$ 600,R$ 600,R$ 600,R$ 600,R$ 450,R$ 750,R$ 750,R$ 750,R$ 900,R$ 900,R$ 750,R$ 600,R$ 600,R$ 750,R$ 750,R$ 750,R$ 900,R$ 900,R$ 1.050,R$ 1.050,R$ 1.200,R$ 1.200,R$ 1.200,R$ 1.350,R$ 1.350,R$ 1.350,R$ 1.350,R$ 1.500,R$ 1.500,R$ 1.500,R$ 1.650,R$ 1.650,R$ 1.650,R$ 1.650,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.800,R$ 1.950,R$ 1.950,R$ 2.100,R$ 2.100,R$ 2.250,R$ 2.250,R$ 2.400,R$ 2.400,R$ 2.550,R$ 2.700,R$ 2.850,R$ 3.000,R$ 3.150,R$ 3.300,R$ 3.300,R$ 3.450,R$ 3.600,R$ 3.750,R$ 3.900,R$ 4.050,R$ 4.200,R$ 4.350
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
